F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
44.386,-4.14,0,1.3239,1,-11.487,-3.342448,-4.8688,8269.76,-22.596,-3336.16,-96949.2,6.5859,-4.3687,2193.6,48.006,-4.5686,8318.43,-167.29,-4832.13,9.93,False
70.12,-4.14,1,1.07749,0,-12.9585,-3.8496,-7.1,8510.14,-16.644,-3976.8,-96643.4,5.7972,-5.394,2048.535,39.342,-5.6646,10232.13,1904.61,-5526.53,10.08,True
40.332,-4.14,1,2.274,0,-14.958,-3.341084,-4.5126,8590.68,-15.981,-3658.36,-96928.334,6.3594,-6.501,2124.27,22.988,-4.43472,9488.88,56.45,-6269.73,10.89,True
95.74,-4.14,1,1.7843,1,-11.5266,-3.5015,-3.8394,8023.44,-14.865,-4100.04,-96919.307,8.0895,-4.0891,2115.45,30.612,-4.43918,10680.63,316.91,-6943.63,11.38,True
46.376,-1.14,1,1.7345,1,-10.67961,-3.8099,-3.567,4814.64,-10.84545,-3892.74,-96862.72,7.0446,-4.3694,2430.21,17.29,-6.346,10308.33,203.6,-5391.38,,False
100.2,-1.14,1,1.1999,0,-16.053,-3.34268,-9.392,8719.64,-12.1755,-4237.56,-96933.45,8.784,-4.2143,2076.81,37.256,-5.075,9936.84,1209.61,-5402.39,8.53,False
46.43,-1.14,1,1.2753,1,-15.939,-3.9214,-11.314,8101.64,-15.951,-3489.36,-96939.52,7.0401,-3.9692,2121.66,37.042,-5.511,9584.88,1103.11,-5463.04,9.9,False
81.22,-4.14,0,1.6503,1,-22.53,-3.9732,-6.606,7371.24,-14.25,-3809.6,-96909.616,9.231,-4.1967,1891.2,32.101,-4.829,9863.91,-243.59,-5879.43,10.53,True
59.68,-4.14,0,3.18,1,-15.783,-3.4861,-8.256,7949.84,-12.6909,-3598.96,-97406.6,7.5129,-4.2289,1978.44,29.3236,-4.3907,9995.4,108.24,-8477.63,,True
49.77,-4.14,0,1.7871,0,-11.1963,-4.2917,-3.6002,8713.64,-12.5013,-1445.36,-96873.06,6.5595,-4.0158,2255.88,36.22,-9.886,7645.23,-36.19,-5484.25,,False
73.32,-1.14,1,1.07275,1,-13.509,-3.5782,-4.4472,8148.64,-12.2103,-2387.76,-96917.546,8.91,-3.8676,1800.24,21.396,-6.524,10061.01,-929.39,-5643.93,,True
58.94,-1.14,1,1.1944,1,-20.922,-5.498,-3.6172,8544.68,-13.4511,-2910.56,-96940.44,5.6517,-4.5029,2151.66,20.216,-12.588,9630.66,-717.69,-5465.5,10.87,True
53.84,-1.14,1,2.059,1,-11.8404,-6.016,-3.7322,5776.64,-11.1912,-3787.02,-96977.84,5.7201,-4.808,2842.11,26.426,-7.496,9138.33,267.91,-5426.24,,False
35.6912,-4.14,1,2.571,1,-14.055,-3.5241,-5.982,8263.8,-11.9349,-1719.36,-94437.8,5.7792,-3.7915,2191.41,26.88,-8.128,9556.98,228.81,-5461.57,,False
57.8,-1.14,1,1.4072,1,-10.68876,-3.5243,-4.0168,9594.24,-11.3808,-3609.76,-96908.182,7.1502,-5.851,2254.44,34.002,-5.5672,3406.53,-86.89,-5431.09,,False
114.92,-4.14,0,1.7187,0,-11.9565,-3.5253,-5.0208,8096.64,-15.228,-3579.36,-96590,5.4489,-4.2867,2022.126,45.278,-5.0366,9750.666,18.61,-5477.77,,True
48.086,-1.14,0,2.67,0,-10.69641,-4.2806,-7.784,9059.04,-12.3765,-3465.56,-96949.2,9.291,-4.3461,2013.726,31.4376,-8.55,10367.73,50.99,-5417.16,10.19,False
48.012,-4.14,1,1.1866,0,-12.795,-3.36997,-3.27026,9019.44,-12.7977,-619.36,-96920.248,7.2363,-3.8921,3441.51,26.2,-6.324,9136.23,-361.79,-5459.36,10.49,True
